COUNTY    , PRCTSEQ, PRECINCT                 , BALSEQID, JURISID, SECJURISID, CANDGROUP, OFFICENAME                                       , ELECTDATE , ELECTTYPE    , COL1HDG, RNAME1                    , PARTY1     , PVTALLY1, COL2HDG, RNAME2                        , PARTY2      , PVTALLY2, COL3HDG, RNAME3                     , PARTY3      , PVTALLY3, COL4HDG, RNAME4                          , PARTY4     , PVTALLY4, COL5HDG, RNAME5                   , PARTY5     , PVTALLY5, COL6HDG, RNAME6            , PARTY6     , PVTALLY6, COL7HDG, RNAME7         , PARTY7     , PVTALLY7, COL8HDG, RNAME8                   , PARTY8     , PVTALLY8, COL9HDG, RNAME9                     , PARTY9     , PVTALLY9, COL10HDG, RNAME10                , PARTY10    , PVTALLY10
Anderson  ,    0001, Andersonville            ,     0005,       0,          0,         0, Governor                                         , 2014-11-04, State General,       1, Bill Haslam               , Republican ,      681,       2, "Charles V. ""Charlie"" Brown", Democratic  ,       96,       3, Shaun Crowell              , Constitution,       14,       4, Isa Infante                     , Green      ,        6,       5, Steven Damon Coburn      , Independent,        2,       6, John Jay Hooker   , Independent,       14,       7, Daniel T. Lewis, Independent,        5,       8, Write-In - A. Darryl Haas, Independent,        0,       9, Write-In - BeLinda Jo Ivins, Independent,        0,       10, Write-In - Mark Pearson, Independent,         0
Anderson  ,    0001, Andersonville            ,     0006,       0,          1,         0, Constitutional Amendment 1                       , 2014-11-04, State General,       1, Yes                       ,            ,      520,       2, No                            ,             ,      303,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0001, Andersonville            ,     0006,       0,          2,         0, Constitutional Amendment 2                       , 2014-11-04, State General,       1, Yes                       ,            ,      568,       2, No                            ,             ,      247,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0001, Andersonville            ,     0006,       0,          3,         0, Constitutional Amendment 3                       , 2014-11-04, State General,       1, Yes                       ,            ,      554,       2, No                            ,             ,      221,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0001, Andersonville            ,     0006,       0,          4,         0, Constitutional Amendment 4                       , 2014-11-04, State General,       1, Yes                       ,            ,      564,       2, No                            ,             ,      180,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0001, Andersonville            ,     0007,       0,          0,         1, United States Senate                             , 2014-11-04, State General,       1, Lamar Alexander           , Republican ,      603,       2, Gordon Ball                   , Democratic  ,      170,       3, Joe Wilmoth                , Constitution,       14,       4, Martin Pleasant                 , Green      ,        3,       5, "Tom Emerson, Jr."       , Independent,        8,       6, Edmund L. Gauthier, Independent,        1,       7, Joshua James   , Independent,        5,       8, Danny Page               , Independent,        1,       9, Bartholomew J. Phillips    , Independent,        1,       10, C. Salekin             , Independent,         0
Anderson  ,    0001, Andersonville            ,     0007,       0,          0,         2, United States Senate                             , 2014-11-04, State General,      11, Eric Schechter            , Independent,        1,      12, Rick Tyler                    , Independent ,        7,      13, Write-In - DeWayne A. Jones, Independent ,        0,      14, Write-In - Erin Kent Magee      , Independent,        0,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0001, Andersonville            ,     0011,       3,          0,         0, United States House of Representatives District 3, 2014-11-04, State General,       1, Chuck Fleischmann         , Republican ,      613,       2, Mary M. Headrick              , Democratic  ,      179,       3, Cassandra J Mitchell       , Independent ,       27,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0001, Andersonville            ,     0015,      05,          0,         0, Tennessee Senate District 5                      , 2014-11-04, State General,       1, Randy McNally             , Republican ,      707,        ,                               ,             ,         ,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  ,    0001, Andersonville            ,     0017,      36,          0,         0, Tennessee House of Representatives District 36   , 2014-11-04, State General,       1, Dennis H. Powers          , Republican ,      627,       2, James Virgil Kidwell          , Democratic  ,      167,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                   ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
